Date,Close/Last,Volume,Open,High,Low
07/24/2025,$188.12,4819916,$188.16,$190.0446,$187.07
07/23/2025,$187.01,5419786,$187.68,$189.40,$186.14
07/22/2025,$187.14,7074450,$192.27,$192.50,$185.13
07/21/2025,$192.61,5061514,$190.79,$194.40,$190.7767
07/18/2025,$190.44,4757107,$193.06,$193.57,$190.14
07/17/2025,$192.52,5704041,$192.62,$194.0275,$191.945
07/16/2025,$194.81,9400048,$194.00,$195.16,$189.75
07/15/2025,$199.29,6007129,$200.075,$201.11,$198.495
07/14/2025,$197.10,7263986,$195.61,$198.82,$194.485
07/11/2025,$197.93,4424409,$196.85,$198.78,$196.15
07/10/2025,$198.03,5230356,$198.00,$199.42,$196.65
07/09/2025,$195.39,6170835,$195.80,$197.96,$194.235
07/08/2025,$194.99,8097053,$192.135,$196.30,$191.52
07/07/2025,$190.78,6577422,$189.04,$191.65,$188.61
07/03/2025,$191.05,3568536,$189.35,$192.04,$189.27
07/02/2025,$190.01,8800624,$182.63,$190.91,$181.63
07/01/2025,$183.76,6572259,$182.44,$184.9344,$180.90
06/30/2025,$183.07,4070695,$183.80,$184.77,$182.53
06/27/2025,$183.21,14202820,$184.38,$185.80,$181.115
06/26/2025,$183.52,5199682,$183.19,$184.50,$182.06
06/25/2025,$183.07,5431798,$181.11,$183.21,$180.495
06/24/2025,$180.18,7254464,$175.07,$180.52,$174.995
06/23/2025,$171.96,6838843,$170.255,$172.29,$168.72
06/20/2025,$169.46,18396640,$174.465,$175.37,$165.91
06/18/2025,$172.84,4946925,$175.26,$175.26,$171.81
06/17/2025,$174.09,6631417,$176.28,$178.32,$174.06
06/16/2025,$176.55,6712899,$173.02,$176.8799,$172.7901
06/13/2025,$170.59,5297102,$171.055,$173.575,$170.39
06/12/2025,$175.00,4468520,$172.49,$175.3599,$172.28
06/11/2025,$172.79,6133201,$174.24,$175.79,$170.33
06/10/2025,$173.77,5711575,$170.58,$174.39,$169.99
06/09/2025,$169.79,6320019,$167.81,$171.82,$167.81
06/06/2025,$166.74,5717453,$165.44,$169.53,$165.44
06/05/2025,$164.19,7393041,$163.22,$165.62,$161.0988
06/04/2025,$161.93,5990639,$162.50,$163.48,$160.18
06/03/2025,$161.74,6355432,$156.93,$161.95,$156.36
06/02/2025,$157.27,5875258,$155.79,$157.62,$155.43
05/30/2025,$156.75,15273620,$159.04,$159.23,$153.47
05/29/2025,$159.48,6846250,$165.46,$165.54,$158.45
05/28/2025,$161.59,6727191,$161.905,$163.6696,$160.88
05/27/2025,$161.83,8470355,$160.625,$162.48,$159.17
05/23/2025,$157.51,5733447,$156.635,$158.41,$155.66
05/22/2025,$160.52,6355688,$160.69,$163.30,$160.28
05/21/2025,$162.23,5658555,$163.54,$166.29,$161.669
05/20/2025,$165.73,5372424,$165.05,$165.94,$164.23
05/19/2025,$165.94,7465699,$162.54,$166.00,$162.37
05/16/2025,$165.57,16540370,$168.43,$169.47,$161.92
05/15/2025,$174.75,12811610,$171.75,$176.38,$171.20
05/14/2025,$174.14,7069732,$173.445,$175.28,$173.05
05/13/2025,$173.03,8980217,$168.87,$174.1799,$168.47
05/12/2025,$167.99,11724100,$166.44,$169.7999,$165.65
05/09/2025,$155.61,3884590,$156.93,$158.00,$154.65
05/08/2025,$156.00,4824625,$158.03,$158.80,$155.81
05/07/2025,$155.81,5500190,$153.355,$156.20,$151.51
05/06/2025,$153.03,3471702,$152.002,$154.48,$151.90
05/05/2025,$154.61,4069314,$154.11,$156.64,$153.845
05/02/2025,$155.10,6083227,$152.79,$156.695,$152.685
05/01/2025,$148.96,6731978,$151.64,$152.28,$148.74
04/30/2025,$150.71,7273648,$145.97,$151.04,$144.71
04/29/2025,$149.55,5721316,$149.00,$151.065,$147.905
04/28/2025,$150.79,7052725,$150.79,$151.87,$147.51
04/25/2025,$151.55,4805247,$148.20,$152.61,$147.87
